trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
15265188,22:42:00,22:42:00,11302,1,
15265188,22:43:00,22:43:00,11272,2,
15265188,22:46:00,22:46:00,11274,3,
15265188,22:47:00,22:47:00,11276,4,
15265188,22:49:00,22:49:00,11278,5,
15265188,22:51:00,22:51:00,11280,6,
15265188,22:54:00,22:54:00,11282,7,
15265188,22:56:00,22:56:00,11284,8,
15265188,22:58:00,22:58:00,11286,9,
15265188,23:01:00,23:01:00,11288,10,
15265188,23:04:00,23:04:00,11296,11,
15265188,23:06:00,23:06:00,11298,12,
15265188,23:08:00,23:08:00,11300,13,1
15265189,22:48:00,22:48:00,11302,1,
15265189,22:49:00,22:49:00,11272,2,
15265189,22:52:00,22:52:00,11274,3,
15265189,22:53:00,22:53:00,11276,4,
15265189,22:55:00,22:55:00,11278,5,
15265189,22:57:00,22:57:00,11280,6,
15265189,23:00:00,23:00:00,11282,7,
15265189,23:02:00,23:02:00,11284,8,
15265189,23:04:00,23:04:00,11286,9,
15265189,23:07:00,23:07:00,11288,10,
15265189,23:09:00,23:09:00,12947,11,
15265189,23:11:00,23:11:00,11290,12,
15265189,23:13:00,23:13:00,11292,13,
15265189,23:14:00,23:14:00,11294,14,1
15264859,16:52:00,16:52:00,11301,1,
15264859,16:54:00,16:54:00,11299,2,
15264859,16:56:00,16:56:00,11297,3,
15264859,16:59:00,16:59:00,11289,4,
15264859,17:01:00,17:01:00,11287,5,
15264859,17:04:00,17:04:00,11285,6,
15264859,17:05:00,17:05:00,11283,7,
15264859,17:08:00,17:08:00,11281,8,
15264859,17:11:00,17:11:00,11279,9,
15264859,17:12:00,17:12:00,11277,10,
15264859,17:14:00,17:14:00,11275,11,
15264859,17:16:00,17:16:00,11273,12,
15264859,17:18:00,17:18:00,11303,13,1
15264858,16:47:00,16:47:00,11295,1,
15264858,16:49:00,16:49:00,11293,2,
15264858,16:51:00,16:51:00,11291,3,
15264858,16:53:00,16:53:00,12946,4,
15264858,16:55:00,16:55:00,11289,5,
15264858,16:57:00,16:57:00,11287,6,
15264858,17:00:00,17:00:00,11285,7,
15264858,17:01:00,17:01:00,11283,8,
15264858,17:04:00,17:04:00,11281,9,
15264858,17:07:00,17:07:00,11279,10,
15264858,17:08:00,17:08:00,11277,11,
15264858,17:10:00,17:10:00,11275,12,
15264858,17:12:00,17:12:00,11273,13,
15264858,17:14:00,17:14:00,11303,14,1
15264851,16:20:00,16:20:00,11301,1,
15264851,16:22:00,16:22:00,11299,2,
15264851,16:24:00,16:24:00,11297,3,
15264851,16:27:00,16:27:00,11289,4,
15264851,16:29:00,16:29:00,11287,5,
15264851,16:32:00,16:32:00,11285,6,
15264851,16:33:00,16:33:00,11283,7,
15264851,16:36:00,16:36:00,11281,8,
15264851,16:39:00,16:39:00,11279,9,
15264851,16:40:00,16:40:00,11277,10,
15264851,16:42:00,16:42:00,11275,11,
15264851,16:44:00,16:44:00,11273,12,
15264851,16:46:00,16:46:00,11303,13,1
15264850,16:15:00,16:15:00,11295,1,
15264850,16:17:00,16:17:00,11293,2,
15264850,16:19:00,16:19:00,11291,3,
15264850,16:21:00,16:21:00,12946,4,
15264850,16:23:00,16:23:00,11289,5,
15264850,16:25:00,16:25:00,11287,6,
15264850,16:28:00,16:28:00,11285,7,
15264850,16:29:00,16:29:00,11283,8,
15264850,16:32:00,16:32:00,11281,9,
15264850,16:35:00,16:35:00,11279,10,
15264850,16:36:00,16:36:00,11277,11,
15264850,16:38:00,16:38:00,11275,12,
15264850,16:40:00,16:40:00,11273,13,
15264850,16:42:00,16:42:00,11303,14,1
15264853,16:28:00,16:28:00,11301,1,
15264853,16:30:00,16:30:00,11299,2,
15264853,16:32:00,16:32:00,11297,3,
15264853,16:35:00,16:35:00,11289,4,
15264853,16:37:00,16:37:00,11287,5,
15264853,16:40:00,16:40:00,11285,6,
15264853,16:41:00,16:41:00,11283,7,
15264853,16:44:00,16:44:00,11281,8,
15264853,16:47:00,16:47:00,11279,9,
15264853,16:48:00,16:48:00,11277,10,
15264853,16:50:00,16:50:00,11275,11,
15264853,16:52:00,16:52:00,11273,12,
15264853,16:54:00,16:54:00,11303,13,1
15264852,16:23:00,16:23:00,11295,1,
15264852,16:25:00,16:25:00,11293,2,
15264852,16:27:00,16:27:00,11291,3,
15264852,16:29:00,16:29:00,12946,4,
15264852,16:31:00,16:31:00,11289,5,
15264852,16:33:00,16:33:00,11287,6,
15264852,16:36:00,16:36:00,11285,7,
15264852,16:37:00,16:37:00,11283,8,
15264852,16:40:00,16:40:00,11281,9,
15264852,16:43:00,16:43:00,11279,10,
15264852,16:44:00,16:44:00,11277,11,
15264852,16:46:00,16:46:00,11275,12,
15264852,16:48:00,16:48:00,11273,13,
15264852,16:50:00,16:50:00,11303,14,1
15264855,16:36:00,16:36:00,11301,1,
15264855,16:38:00,16:38:00,11299,2,
15264855,16:40:00,16:40:00,11297,3,
15264855,16:43:00,16:43:00,11289,4,
15264855,16:45:00,16:45:00,11287,5,
15264855,16:48:00,16:48:00,11285,6,
15264855,16:49:00,16:49:00,11283,7,
15264855,16:52:00,16:52:00,11281,8,
15264855,16:55:00,16:55:00,11279,9,
15264855,16:56:00,16:56:00,11277,10,
15264855,16:58:00,16:58:00,11275,11,
15264855,17:00:00,17:00:00,11273,12,
15264855,17:02:00,17:02:00,11303,13,1
15264854,16:31:00,16:31:00,11295,1,
15264854,16:33:00,16:33:00,11293,2,
15264854,16:35:00,16:35:00,11291,3,
15264854,16:37:00,16:37:00,12946,4,
15264854,16:39:00,16:39:00,11289,5,
15264854,16:41:00,16:41:00,11287,6,
15264854,16:44:00,16:44:00,11285,7,
15264854,16:45:00,16:45:00,11283,8,
15264854,16:48:00,16:48:00,11281,9,
15264854,16:51:00,16:51:00,11279,10,
15264854,16:52:00,16:52:00,11277,11,
15264854,16:54:00,16:54:00,11275,12,
15264854,16:56:00,16:56:00,11273,13,
15264854,16:58:00,16:58:00,11303,14,1
15264857,16:44:00,16:44:00,11301,1,
15264857,16:46:00,16:46:00,11299,2,
15264857,16:48:00,16:48:00,11297,3,
15264857,16:51:00,16:51:00,11289,4,
15264857,16:53:00,16:53:00,11287,5,
15264857,16:56:00,16:56:00,11285,6,
15264857,16:57:00,16:57:00,11283,7,
15264857,17:00:00,17:00:00,11281,8,
15264857,17:03:00,17:03:00,11279,9,
15264857,17:04:00,17:04:00,11277,10,
15264857,17:06:00,17:06:00,11275,11,
15264857,17:08:00,17:08:00,11273,12,
15264857,17:10:00,17:10:00,11303,13,1
15264856,16:39:00,16:39:00,11295,1,
15264856,16:41:00,16:41:00,11293,2,
15264856,16:43:00,16:43:00,11291,3,
15264856,16:45:00,16:45:00,12946,4,
15264856,16:47:00,16:47:00,11289,5,
15264856,16:49:00,16:49:00,11287,6,
15264856,16:52:00,16:52:00,11285,7,
15264856,16:53:00,16:53:00,11283,8,
15264856,16:56:00,16:56:00,11281,9,
15264856,16:59:00,16:59:00,11279,10,
15264856,17:00:00,17:00:00,11277,11,
15264856,17:02:00,17:02:00,11275,12,
15264856,17:04:00,17:04:00,11273,13,
15264856,17:06:00,17:06:00,11303,14,1
15502708,18:23:00,18:23:00,11302,1,
15502708,18:25:00,18:25:00,11272,2,
15502708,18:27:00,18:27:00,11274,3,
15502708,18:29:00,18:29:00,11276,4,
15502708,18:30:00,18:30:00,11278,5,
15502708,18:32:00,18:32:00,11280,6,
15502708,18:35:00,18:35:00,11282,7,
15502708,18:37:00,18:37:00,11284,8,
15502708,18:39:00,18:39:00,11286,9,
15502708,18:42:00,18:42:00,11288,10,
15502708,18:45:00,18:45:00,11296,11,
15502708,18:47:00,18:47:00,11298,12,
15502708,18:49:00,18:49:00,11300,13,1
15502709,18:27:00,18:27:00,11302,1,
15502709,18:29:00,18:29:00,11272,2,
15502709,18:31:00,18:31:00,11274,3,
15502709,18:33:00,18:33:00,11276,4,
15502709,18:34:00,18:34:00,11278,5,
15502709,18:36:00,18:36:00,11280,6,
15502709,18:39:00,18:39:00,11282,7,
15502709,18:41:00,18:41:00,11284,8,
15502709,18:43:00,18:43:00,11286,9,
15502709,18:46:00,18:46:00,11288,10,
15502709,18:48:00,18:48:00,12947,11,
15502709,18:50:00,18:50:00,11290,12,
15502709,18:52:00,18:52:00,11292,13,
15502709,18:53:00,18:53:00,11294,14,1
15502700,17:51:00,17:51:00,11302,1,
15502700,17:53:00,17:53:00,11272,2,
15502700,17:55:00,17:55:00,11274,3,
15502700,17:57:00,17:57:00,11276,4,
15502700,17:58:00,17:58:00,11278,5,
15502700,18:00:00,18:00:00,11280,6,
15502700,18:03:00,18:03:00,11282,7,
15502700,18:05:00,18:05:00,11284,8,
15502700,18:07:00,18:07:00,11286,9,
15502700,18:10:00,18:10:00,11288,10,
15502700,18:13:00,18:13:00,11296,11,
15502700,18:15:00,18:15:00,11298,12,
15502700,18:17:00,18:17:00,11300,13,1
15502701,17:55:00,17:55:00,11302,1,
15502701,17:57:00,17:57:00,11272,2,
15502701,17:59:00,17:59:00,11274,3,
15502701,18:01:00,18:01:00,11276,4,
15502701,18:02:00,18:02:00,11278,5,
15502701,18:04:00,18:04:00,11280,6,
15502701,18:07:00,18:07:00,11282,7,
15502701,18:09:00,18:09:00,11284,8,
15502701,18:11:00,18:11:00,11286,9,
15502701,18:14:00,18:14:00,11288,10,
15502701,18:16:00,18:16:00,12947,11,
15502701,18:18:00,18:18:00,11290,12,
15502701,18:20:00,18:20:00,11292,13,
15502701,18:21:00,18:21:00,11294,14,1
15502702,17:59:00,17:59:00,11302,1,
15502702,18:01:00,18:01:00,11272,2,
15502702,18:03:00,18:03:00,11274,3,
15502702,18:05:00,18:05:00,11276,4,
15502702,18:06:00,18:06:00,11278,5,
15502702,18:08:00,18:08:00,11280,6,
15502702,18:11:00,18:11:00,11282,7,
15502702,18:13:00,18:13:00,11284,8,
15502702,18:15:00,18:15:00,11286,9,
15502702,18:18:00,18:18:00,11288,10,
15502702,18:21:00,18:21:00,11296,11,
15502702,18:23:00,18:23:00,11298,12,
15502702,18:25:00,18:25:00,11300,13,1
15502703,18:03:00,18:03:00,11302,1,
15502703,18:05:00,18:05:00,11272,2,
15502703,18:07:00,18:07:00,11274,3,
15502703,18:09:00,18:09:00,11276,4,
15502703,18:10:00,18:10:00,11278,5,
15502703,18:12:00,18:12:00,11280,6,
15502703,18:15:00,18:15:00,11282,7,
15502703,18:17:00,18:17:00,11284,8,
15502703,18:19:00,18:19:00,11286,9,
15502703,18:22:00,18:22:00,11288,10,
15502703,18:24:00,18:24:00,12947,11,
15502703,18:26:00,18:26:00,11290,12,
15502703,18:28:00,18:28:00,11292,13,
15502703,18:29:00,18:29:00,11294,14,1
15502704,18:07:00,18:07:00,11302,1,
15502704,18:09:00,18:09:00,11272,2,
15502704,18:11:00,18:11:00,11274,3,
15502704,18:13:00,18:13:00,11276,4,
15502704,18:14:00,18:14:00,11278,5,
15502704,18:16:00,18:16:00,11280,6,
15502704,18:19:00,18:19:00,11282,7,
15502704,18:21:00,18:21:00,11284,8,
15502704,18:23:00,18:23:00,11286,9,
15502704,18:26:00,18:26:00,11288,10,
15502704,18:29:00,18:29:00,11296,11,
15502704,18:31:00,18:31:00,11298,12,
15502704,18:33:00,18:33:00,11300,13,1
15502705,18:11:00,18:11:00,11302,1,
15502705,18:13:00,18:13:00,11272,2,
15502705,18:15:00,18:15:00,11274,3,
15502705,18:17:00,18:17:00,11276,4,
15502705,18:18:00,18:18:00,11278,5,
15502705,18:20:00,18:20:00,11280,6,
15502705,18:23:00,18:23:00,11282,7,
15502705,18:25:00,18:25:00,11284,8,
15502705,18:27:00,18:27:00,11286,9,
15502705,18:30:00,18:30:00,11288,10,
15502705,18:32:00,18:32:00,12947,11,
15502705,18:34:00,18:34:00,11290,12,
15502705,18:36:00,18:36:00,11292,13,
15502705,18:37:00,18:37:00,11294,14,1
15502706,18:15:00,18:15:00,11302,1,
15502706,18:17:00,18:17:00,11272,2,
15502706,18:19:00,18:19:00,11274,3,
15502706,18:21:00,18:21:00,11276,4,
15502706,18:22:00,18:22:00,11278,5,
15502706,18:24:00,18:24:00,11280,6,
15502706,18:27:00,18:27:00,11282,7,
15502706,18:29:00,18:29:00,11284,8,
15502706,18:31:00,18:31:00,11286,9,
15502706,18:34:00,18:34:00,11288,10,
15502706,18:37:00,18:37:00,11296,11,
15502706,18:39:00,18:39:00,11298,12,
15502706,18:41:00,18:41:00,11300,13,1
15502707,18:19:00,18:19:00,11302,1,
15502707,18:21:00,18:21:00,11272,2,
15502707,18:23:00,18:23:00,11274,3,
15502707,18:25:00,18:25:00,11276,4,
15502707,18:26:00,18:26:00,11278,5,
15502707,18:28:00,18:28:00,11280,6,
15502707,18:31:00,18:31:00,11282,7,
15502707,18:33:00,18:33:00,11284,8,
15502707,18:35:00,18:35:00,11286,9,
15502707,18:38:00,18:38:00,11288,10,
15502707,18:40:00,18:40:00,12947,11,
15502707,18:42:00,18:42:00,11290,12,
15502707,18:44:00,18:44:00,11292,13,
15502707,18:45:00,18:45:00,11294,14,1
15524058,15:10:00,15:10:00,10374,1,
15524058,15:12:00,15:12:00,8763,2,
15524058,15:14:00,15:14:00,8762,3,
15524058,15:15:00,15:15:00,8761,4,
15524058,15:18:00,15:18:00,8760,5,
15524058,15:19:00,15:19:00,8759,6,
15524058,15:21:00,15:21:00,8758,7,
15524058,15:24:00,15:24:00,8757,8,
15524058,15:26:00,15:26:00,9511,9,
15524058,15:28:00,15:28:00,8756,10,
15524058,15:31:00,15:31:00,8755,11,
15524058,15:34:00,15:34:00,12229,12,
15524058,15:38:00,15:38:00,12231,13,
15524058,15:40:00,15:40:00,12233,14,
15524058,15:43:00,15:43:00,12235,15,
15524058,15:45:00,15:45:00,12237,16,
15524058,15:46:00,15:46:00,12239,17,1
15524059,15:16:00,15:16:00,10374,1,
15524059,15:18:00,15:18:00,8763,2,
15524059,15:20:00,15:20:00,8762,3,
15524059,15:21:00,15:21:00,8761,4,
15524059,15:24:00,15:24:00,8760,5,
15524059,15:25:00,15:25:00,8759,6,
15524059,15:27:00,15:27:00,8758,7,
15524059,15:30:00,15:30:00,8757,8,
15524059,15:32:00,15:32:00,9511,9,
15524059,15:34:00,15:34:00,8756,10,
15524059,15:37:00,15:37:00,8755,11,
15524059,15:40:00,15:40:00,12229,12,
15524059,15:44:00,15:44:00,12231,13,
15524059,15:46:00,15:46:00,12233,14,
15524059,15:49:00,15:49:00,12235,15,
15524059,15:51:00,15:51:00,12237,16,
15524059,15:52:00,15:52:00,12239,17,1
15524054,14:46:00,14:46:00,10374,1,
15524054,14:48:00,14:48:00,8763,2,
15524054,14:50:00,14:50:00,8762,3,
15524054,14:51:00,14:51:00,8761,4,
15524054,14:54:00,14:54:00,8760,5,
15524054,14:55:00,14:55:00,8759,6,
15524054,14:57:00,14:57:00,8758,7,
15524054,15:00:00,15:00:00,8757,8,
15524054,15:02:00,15:02:00,9511,9,
15524054,15:04:00,15:04:00,8756,10,
15524054,15:07:00,15:07:00,8755,11,
15524054,15:10:00,15:10:00,12229,12,
15524054,15:14:00,15:14:00,12231,13,
15524054,15:16:00,15:16:00,12233,14,
15524054,15:19:00,15:19:00,12235,15,
15524054,15:21:00,15:21:00,12237,16,
15524054,15:22:00,15:22:00,12239,17,1
15524055,14:52:00,14:52:00,10374,1,
15524055,14:54:00,14:54:00,8763,2,
15524055,14:56:00,14:56:00,8762,3,
15524055,14:57:00,14:57:00,8761,4,
15524055,15:00:00,15:00:00,8760,5,
15524055,15:01:00,15:01:00,8759,6,
15524055,15:03:00,15:03:00,8758,7,
15524055,15:06:00,15:06:00,8757,8,
15524055,15:08:00,15:08:00,9511,9,
15524055,15:10:00,15:10:00,8756,10,
15524055,15:13:00,15:13:00,8755,11,
15524055,15:16:00,15:16:00,12229,12,
15524055,15:20:00,15:20:00,12231,13,
15524055,15:22:00,15:22:00,12233,14,
