service_id,date,exception_type
1,20260827,1
1021,20260828,1
1538,20260829,1
1857,20260830,1
2315,20260831,1
2315,20260901,1
2315,20260902,1
2315,20260903,1
2315,20260907,1
2315,20260908,1
2315,20260909,1
2315,20260914,1
2315,20260915,1
2315,20260916,1
2315,20260917,1
2315,20260921,1
2315,20260922,1
2315,20260923,1
2315,20260924,1
2315,20260928,1
2315,20260929,1
2315,20260930,1
2315,20261001,1
2315,20261005,1
2315,20261006,1
2315,20261007,1
2315,20261008,1
2315,20261012,1
2315,20261013,1
2315,20261014,1
2315,20261015,1
2315,20261019,1
2315,20261020,1
2315,20261021,1
2315,20261022,1
2315,20261026,1
2315,20261027,1
2315,20261028,1
2315,20261029,1
2315,20261102,1
2315,20261103,1
2315,20261104,1
2315,20261105,1
2315,20261109,1
2315,20261110,1
2315,20261111,1
2315,20261112,1
2315,20261116,1
2315,20261117,1
2315,20261118,1
2315,20261119,1
2315,20261123,1
2315,20261124,1
2315,20261125,1
2871,20260904,1
2871,20260911,1
2871,20260918,1
2871,20260925,1
2871,20261002,1
2871,20261009,1
2871,20261016,1
2871,20261023,1
2871,20261030,1
2871,20261106,1
2871,20261113,1
2871,20261120,1
2988,20260905,1
2988,20260912,1
2988,20260919,1
2988,20260926,1
2988,20261003,1
2988,20261010,1
2988,20261017,1
2988,20261024,1
2988,20261031,1
2988,20261107,1
2988,20261114,1
2988,20261121,1
3030,20260906,1
3249,20260910,1
3346,20260913,1
3346,20260920,1
3605,20260927,1
3605,20261004,1
3605,20261011,1
3605,20261018,1
3605,20261025,1
3605,20261101,1
3605,20261108,1
3605,20261115,1
3605,20261122,1
